combo_id,seed,iql_tau,iql_beta,iql_target_tau,iql_lr,iql_discount,ct_ckpt_path,iql_picked_step,iql_best_step_sim,rho_sim_predictor,top1_overlap_sim_predictor,top3_overlap_sim_predictor,top5_overlap_sim_predictor,iql_best_val_mae_uns,iql_best_val_mae_predictor,mae_uns_eval_split,eval_split
tau-0.5_beta-5.0_ttau-0.001_lr-5e-4_disc-0.95,10,0.5,5.0,0.001,5e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_10/coeff_4/ct_best_encoder.pt,400,400,0.988462,1,1,1,1.0795,1.0795,0.297175,false
tau-0.5_beta-5.0_ttau-0.001_lr-5e-4_disc-0.95,101,0.5,5.0,0.001,5e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_101/coeff_4/ct_best_encoder.pt,1200,600,0.905385,0,1,1,6.68368,6.68368,0.501293,false
tau-0.5_beta-5.0_ttau-0.001_lr-5e-4_disc-0.95,2020,0.5,5.0,0.001,5e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_2020/coeff_4/ct_best_encoder.pt,3600,600,0.622308,0,0.666667,0.6,10.9005,10.9005,0.556142,false
tau-0.5_beta-5.0_ttau-0.001_lr-3e-4_disc-0.9,10,0.5,5.0,0.001,3e-4,0.9,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_10/coeff_4/ct_best_encoder.pt,800,800,0.978462,1,1,0.6,1.08337,1.08337,0.248795,false
tau-0.5_beta-5.0_ttau-0.001_lr-3e-4_disc-0.9,101,0.5,5.0,0.001,3e-4,0.9,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_101/coeff_4/ct_best_encoder.pt,1200,1200,0.812308,1,0.333333,0.6,6.67047,6.67047,0.470924,false
tau-0.5_beta-5.0_ttau-0.001_lr-3e-4_disc-0.9,2020,0.5,5.0,0.001,3e-4,0.9,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_2020/coeff_4/ct_best_encoder.pt,1600,200,0.278462,0,0.666667,0.4,10.805,10.805,0.465209,false
tau-0.5_beta-5.0_ttau-0.001_lr-5e-4_disc-0.9,10,0.5,5.0,0.001,5e-4,0.9,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_10/coeff_4/ct_best_encoder.pt,400,400,0.959231,1,0.666667,0.8,1.08145,1.08145,0.320793,false
tau-0.5_beta-5.0_ttau-0.001_lr-5e-4_disc-0.9,101,0.5,5.0,0.001,5e-4,0.9,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_101/coeff_4/ct_best_encoder.pt,800,400,0.667692,0,0.333333,0.8,6.90562,6.90562,0.562226,false
tau-0.5_beta-5.0_ttau-0.001_lr-5e-4_disc-0.9,2020,0.5,5.0,0.001,5e-4,0.9,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_2020/coeff_4/ct_best_encoder.pt,200,200,0.505385,1,0.666667,0.6,10.7594,10.7594,0.407731,false
tau-0.5_beta-10.0_ttau-0.001_lr-3e-4_disc-0.95,10,0.5,10.0,0.001,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_10/coeff_4/ct_best_encoder.pt,1800,2600,0.83,0,1,0.8,1.08427,1.08427,0.335593,false
tau-0.5_beta-10.0_ttau-0.001_lr-3e-4_disc-0.95,101,0.5,10.0,0.001,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_101/coeff_4/ct_best_encoder.pt,1200,400,0.783077,0,0,0.2,6.1952,6.1952,0.745545,false
tau-0.5_beta-10.0_ttau-0.001_lr-3e-4_disc-0.95,2020,0.5,10.0,0.001,3e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_2020/coeff_4/ct_best_encoder.pt,400,1600,0.685385,0,0.333333,0.4,10.4823,10.4823,0.540973,false
tau-0.5_beta-10.0_ttau-0.001_lr-5e-4_disc-0.95,10,0.5,10.0,0.001,5e-4,0.95,/home/liam/pythonProject/VCIP-ICML-main/grid_results/iql_search/gamma_4/ct_checkpoints/seed_10/coeff_4/ct_best_encoder.pt,2600,400,0.929231,0,0.666667,0.6,1.0792,1.0792,0.306163,false
